Stationsnamn,Markering,FilID,Beräkningsklass,SW99_X,SW99_Y,SW99_Z
Jämjö,JAMJ.0,0JAM,Definitiv,3422585.7566,970289.5432,5276197.3783
Järfälla,JFAA.0,0JFA,Definitiv,3096246.8125,996146.5489,5468201.2613
Järna,JARN.2,2JRN,Definitiv,3132093.5474,990963.8923,5448790.8622
Järpen,JARP.0,0JAR,Definitiv,2789756.8513,667140.0388,5678055.0305
Jättendal,JATT.0,0JAT,Definitiv,2869474.1165,891380.2236,5607236.7408
Jävre,JAVR.0,0JAV,Definitiv,2500466.8936,984256.9530,5765093.6991
Jönköping,JONK.0,0JON,Definitiv,3309991.8425,828932.0757,5370882.2668
Jönköping-Mast,JONK.6,6JON,Definitiv,3309994.3596,828938.4341,5370879.8533
Jönåker,JONA.0,0JNA,Definitiv,3177103.0664,955286.4715,5429200.3337
Jörn,JORN.0,0JOR,Definitiv,2534080.4818,924498.9839,5760604.7718
Kallsedet,KASE.0,0KAS,Definitiv,2761499.8155,635453.8297,5695426.8751
Karlsborg,KABO.0,0KBO,Definitiv,3231389.6293,836376.1385,5416936.4196
Karlstad,KARL.0,0KAR,Definitiv,3160763.3650,759160.1400,5469345.5053
Karlstad-Mast,KARL.6,6KAR,Definitiv,3160760.4417,759158.9146,5469347.0528
Katthammarsvik,KATT.0,0KAT,Definitiv,3257720.4663,1111411.4400,5351667.8667
Kebnekaise,KEBN.1,1KEB,Definitiv,2283917.6611,769631.1109,5886220.1096
Kiruna,KIRU.0,0KIR,Definitiv,2248123.4998,865686.5318,5886425.6002
Kiruna,KIRU.7,7KIR,Definitiv,2248126.2949,865692.0531,5886423.7614
Kiruna_V,KIRV.0,0KIV,Definitiv,2268542.3609,835971.6670,5882962.3957
Kiruna-C,KIRC.0,0KIC,Definitiv,2262117.9103,833865.0913,5885792.7532
Kiruna-E,KIRE.0,0KIE,Definitiv,2261176.2626,840031.9336,5885110.5335
Kiruna-Mast,KIRU.8,8KIR,Preliminär,2248127.3790,865685.4639,5886424.3106
Klintehamn,KLIN.0,0KLI,Definitiv,3273234.5412,1076938.4381,5349249.6470
Knivsta,KNIV.0,0KNI,Definitiv,3069496.5925,985187.5025,5485090.7952
Knäred,KNAR.0,0KNA,Definitiv,3431762.8471,812400.0797,5296792.8518
Kobben,KOBB.0,0KOB,Definitiv,2999028.2438,987781.9707,5523180.7021
Kolsva,KOLS.0,0KOL,Definitiv,3113119.0212,884100.5755,5477809.5588
Koppom,KOPP.0,0KOP,Definitiv,3152146.5686,679276.4016,5484759.4730
Korpilombolo,KORP.0,0KOR,Definitiv,2314045.8261,984902.1594,5841955.6118
Kortedala,KORT.0,0KOT,Definitiv,3335592.1727,711293.7131,5371798.1947
Koskullskulle,KOSK.1,1KOS,Definitiv,2317857.8297,873524.9392,5858241.5084
Kosta,KSTA.0,0KST,Definitiv,3371474.3790,928322.4867,5316478.2060
Kramfors,KRAM.0,0KRA,Definitiv,2774197.6881,897520.9396,5653796.4474
Kristianstad,KRIS.0,0KRI,Definitiv,3463104.9292,875179.4506,5266435.2437
Krokek,KREK.0,0KRE,Definitiv,3190014.6692,935130.3476,5425234.6786
Krokslätt,KROK.0,0KRO,Definitiv,3343776.3718,709796.3462,5366888.0841
KTH,KTH_.1,1KTH,Definitiv,3098980.3634,1011283.9688,5463893.8543
Kumla,KUML.0,0KUM,Definitiv,3166596.8030,856768.8906,5451620.5258
Kungsholmsfort,KUNG.0,0KUN,Definitiv,3434083.6291,958104.6733,5270952.7967
Kvikkjokk,KVIK.0,0KVI,Definitiv,2386163.0296,763314.2485,5846236.9340
